Hour,Baseline (kWh),New HP
1,1.808446,1.2308800000000002
2,1.518273,1.096798
3,1.436898,1.040453
4,1.43149,1.013604
5,1.358166,1.011263
6,1.473231,1.083233
7,1.7822200000000001,1.339112
8,2.227953,1.849308
9,2.791329,2.394917
10,5.709982,5.462397
11,4.081985,3.756334
12,1.6877149999999999,1.427911
13,2.042844,1.804424
14,2.005448,1.818306
15,6.397384,6.218676
16,2.597167,2.250064
17,2.42675,2.092272
18,2.895813,2.459586
19,2.38881,2.048268
20,3.190192,2.883669
21,5.033809,4.718943
22,2.489489,2.122587
23,2.098319,1.741579
24,2.115218,1.699358
25,1.9653260000000001,1.630435
26,2.296904,1.709565
27,2.020902,1.640972
28,2.157207,1.68029
29,2.612399,2.124134
30,7.22779,6.815849
31,6.134787,5.485956
32,4.330352,4.130297
33,3.621772,2.99485
34,2.857716,2.301329
35,2.617811,2.006172
36,3.596762,3.17773
37,2.9481550000000003,2.588555
38,1.8819849999999998,1.553084
39,1.748657,1.5054079999999999
40,2.400926,1.974201
41,2.403209,2.063203
42,2.419937,1.994192
43,2.701035,2.3898420000000002
44,2.70417,2.383337
45,2.382292,2.004443
46,2.151973,1.8806120000000002
47,2.242165,1.74947
48,2.05731,1.599226
49,1.877521,1.4904380000000002
50,1.939308,1.460897
51,2.185591,2.017546
52,2.66643,1.77163
53,2.036954,1.6972360000000002
54,2.8947689999999997,2.289707
55,2.882657,2.38733
56,3.064051,2.652185
57,5.433381,4.79282
58,4.9413,4.452177
59,6.558931,6.015994
60,3.05311,2.501439
61,3.924074,3.4689229999999998
62,3.3018020000000003,2.745372
63,2.586654,2.242218
64,2.8966860000000003,2.27045
65,2.537316,2.2400300000000004
66,3.941103,3.266941
67,5.680326,5.409962
68,4.795962,4.245129
69,3.4322399999999997,3.1645410000000003
70,3.262025,2.710644
71,2.366662,2.025367
72,2.271656,1.851753
73,2.609272,2.1181460000000003
74,2.2556149999999997,1.796109
75,2.279776,1.726636
76,2.260906,1.737523
77,2.346377,1.811258
78,2.42598,1.877562
79,3.195683,2.674441
80,2.7535320000000003,2.188578
81,2.984908,2.333914
82,5.423518,4.931248
83,3.5844180000000003,3.07268
84,4.171151,3.7345970000000004
85,3.7695819999999998,3.363045
86,2.942977,2.5515320000000004
87,2.242441,1.907492
88,2.489448,2.118002
89,3.91115,3.580318
90,3.031162,2.579158
91,2.686465,2.2834250000000003
92,3.207244,2.801737
93,2.806206,2.420122
94,4.41302,4.039257
95,5.383408,5.018143
96,4.191112,3.84095
97,2.742455,2.222846
98,2.917835,2.417231
99,2.8808960000000003,2.433708
100,2.982179,2.4976480000000003
101,3.34496,2.799395
102,3.3955670000000002,3.126428
103,4.116804,3.4779430000000002
104,6.524749,6.17825
105,3.977776,3.505976
